comment,province
《我正直勇敢有阅读量，就配多看一些这种电影》我想先说此刻我脑海里最直接出现的一个场景，当小孩对着铁梅说“正是我们足够乐观和自信，才可以直面悲伤”。铁梅甚至都忘了这是她自己写过的稿子，但是她的小孩可以脱口而出。曾经是她亲密关系中另一半的前夫和小马，一个不在乎她的精神世界，一个为了追求她而拜读她所有的文章。没有一个人真正的想了解她的精神世界是怎样的繁荣茂盛。所以女性真正需要的亲密关系和爱情没有关系，和一个读懂自己精神世界的人有关系，我们可以和任何一个明白我们精神世界的人建立。不一定是爱情，是友情是亲情。是你是她也可以是我自己。小叶给小孩播放大自然的声音，那也是一位母亲的声音，世界是从妈妈手中诞生的，妈妈是大自然，妈妈是我的世界。还有很多小细节很触动我，一个女本位的电影看得我身心畅快。最后引用朋友的一句话“钞票就是选票”。希望大家都去看，女性视角的电影才会越来越多越来越好。#电影好东西#,辽宁
很好看～去看！@出差的焦糖玛奇朵M#电影好东西#,安徽
#电影好东西#不愧是好东西，好笑但是内核强大。雄竞的那一段笑得我肚子疼哈哈哈。不管是做人还是做妈妈都要允许自己不那么好，不要为了一点爱就没有了自我。是值得二刷的好电影,江苏
昨晚看了电影好东西，感叹片如其名。影片节奏有喜剧的轻快，没有爹味的说教，没有重复以往深重的女性苦难叙事视角，仿佛炽热夏天触摸到一湾清澈带着凉意的溪流，沁人心脾。女性不该被世俗定义，她们活成什么样，这就是女性的模样，可以不必满足所有人的期待。小孩听声辨物那段，家务活的声音和世界上的其他声音重合。这段给我的冲击很大，围绕着灶台转的母亲，那也是她的一方世界，隐形家务值得被看见。“我正直勇敢有阅读量，我有什么可怜的!”这句话相当提气，一语惊醒梦中人。对啊，我有什么可怜的?!不要常常怀疑自己一无是处，至少我积极面对着。#电影好东西#,福建
#好东西#超级超级好看！女导演就是牛逼！！中间小孩听声音配合铁梅工作做家务照顾家那真的牛！！小孩演的也特别好！听说是梅婷的闺女？！？！之前不觉得钟楚曦好看，现在看她真的好漂亮啊！！！#电影推荐##电影好东西#,河北
#电影好东西#我下周必须找时间去二刷好东西，需要再去细品一遍，可能还有一遍又一遍,广东
都给我去看#电影好东西#,山东
《好东西》真是好东西#电影好东西#,广东
"《好东西》真是好东西！结束时希望它是部100集的电视剧...电影呈现了很多可能会踩雷会有争议的社会话题，但是都碰撞得有趣诙谐，讨论性别但是又不对立冒犯，每个角色刻画都很鲜明，甚至这里面的男性也是可爱的。笑点密集，泪点也是一浪接一浪，带耳机识音频的灵魂片段，太美太有诗意了。小孩儿说的“你的眼睛很美很亮，我喜欢你看我，你怎么看我都没事”，王铁梅说的“总要有人对你说对不起”，还有最后小孩在阳台跟妈妈说“是你写的报道，在我出生那年写的”好多让人哭得莫名其妙的细节电影英文名叫《HerStory》，小孩儿们，不要玩他们的游戏了，长大了去建立一个新的游戏吧...几年前看爱情神话时，知道这个电影的编剧导演是我关注了8年的博主还挺诧异的，那个时候她微博名还是“红佛夜奔不复还""(看到了电影里的小彩蛋""红佛小卖部""哈哈哈哈)。好东西是从开始筹备就在期待的作品，也没有想到超出预期，它竟然比爱情神话更好看！好佩服邵艺辉导演，个人风格明显，细节怪，太会写了！太会讲故事了！女性导演伟大！多来点这样的好东西#电影好东西#",广东
#好东西#我的评分：#电影好东西#非常灵动的三位女性，温暖、可爱、充满智慧。不论过往，不论年龄，每个女性眼里都要有好东西，每人女性都配得上爱。终究会有一天，我们可以拒绝进入别人的游戏，自由书写自己的人生。,北京
好东西我的评分：#电影好东西#让你开心的就是好东西咯,安徽
今天我导在群里盛赞《好东西》，并发表重要讲话👏搞得我想再看一遍#电影好东西#,四川
节奏很快，内容很多，她不厚重，但很深刻～时而全力以赴，时而任意妄为，有前进，有后退，有紧张，有松弛～有无形的力量蕴藏在小小的情节里，给你重重的一击，可能只是那么一点，内心就翻江倒海～女人是一个整体，润物细无声，低调而有力～我想说“我勇敢正直有阅读量”，但想了一下，我说不起。我想说“我们不玩他们的游戏了”，但想了一下，那我这个环境中如何自处？我想说“正是因为我们足够乐观和自信，才可以直面悲剧”，但我现在还没有勇气，还没准备好。截了一段很喜欢的评论，收起来，慢慢过自己。#电影好东西#,北京
